SADSTATUS,
Absolute silence leads to sadness. It is the image of death.,
Sadness is  wall between two gardens.,
Tears are words the heart can’t express.,
Sometimes It’s better to be alone… No one can hurt you.,
You just can’t please everybody.,
Pain is the only thing that’s telling me I’m still alive.,
No one will ever understand how much it hurts!,
Never make someone a priority when all you are to them is an option.,
Never put your happiness in someone else’s hands.,
Please burn my sad memories.,
It is loneliness that makes the loudest noise.,
You know my name not my story.,
I hate it when crying is the only way to feel better.,
I am not worthy of being in love.,
You cant trust no one in this world anymore…,
All I know is that I’m lost without you.,
Never trust those people who don’t understand your feelings.,
Temporary happiness isn’t worth long term pain.,
You always get hurt the moment you begin to care.,
Life’s a prison when you’re in love alone…,
It’s sad how people become what they had promised they never will.,
Its better to be lonely then to be played by wrong people.
It’s sad when you realize you aren’t as important to someone as you thought you were.,
My heart can’t love you anymore because you have broken it.,
Sometimes I think why I’m alive?,
It’s so important to have people in your life that go out of their way to make you feel better when you’re sad or hurting.,
I can always pretend I’m okay but it doesn’t mean I don’t get hurt..,
It’s hard to tell your mind to stop loving someone if your heart still does.,
Pleasure of love lasts but a moment. Pain of love lasts a lifetime.,
I hate being broken. I hate that I cannot go back.,
It’s sad to be happy alone.,
I feel crappy inside, like something just broke.,
Life is pleasant. Death is peaceful. It’s the transition that’s troublesome.,
Sorrow is like a precious treasure, shown only to friends.,
The worst kind of pain is when you’re smiling to stop the tears from falling.,
Emptiness feels so heavy,
It pains a lot when u r having a tough time dealing wid selfish people who might be ur so called friends or relatives in the society.,
You said you can not handel anything so how are you handling her memories.,
The biggest disease in our lifestyle is jealousy.,
Your success may give you luxuries but it won’t give you love from all.,
Sometimes we think everything in terms of right or wrong only for us but we forget its consequences in others life.,
Blind faith can make your life blind.,
When your love takes care of another girl more than you, then somewhere she has taken your place.,
My imaginations of my success is far beyond than my reality of failure,
I guess i won’t be able to express my love for you beyond my imaginations.,
Some endings are intentionally written to start a new beginning,
Not every end lead to a new beginning.,
Unconditional love is just a myth because everyone find their benefits first.,
This is not my face this is the wall of silence embedded with the paintings of endless pain and tears.,
Only one situation can make the most right person into the wrong one.,
Time can change anytime and along with that relationships can change too.,
One fear can make us apart from some beautiful experiences.,
Your soul could be beautiful but your face must be more beautiful to satisfy the rules of beauty created by the world.,
Hiding truth just to get benefits with the lies is just your coward ness.,
Truth can be great but lie is beautiful and this world loves beauty.,
At that time too i wanted everything right, and even today i want everything right but now i know being with you is definitely not right.,
Materialistic demands can make you ignore the emotional demands of others.,
It is a compulsion for you – you have to exude the stainless blood of your hurt heart as a form of tears – if you are in love.,
The humanity actually dies when it is overcome by either lust or revenge.,
In the case of a girl no one can be trusted more than parents.,
People refer their daughter-in-law as their daughter but treat her only like daughter-in-law.,
The feeling of revenge doesn’t only harm others even ourselves too.,
Why humanity only arises when something bad happens in our own home?,
Killing someone just leave a whole family in the deep shock only.,
The main reason of sadness is our dissatisfaction of everything even if we have everything.,
People are so fake now that your real concern is taken as your fake behaviour.,
Advising someone is like creating enemies automatically.,
How can someone’s honour kill a very beautiful life of two lovers.,
If you have a second opinion over her then better to leave her.,
If he can’t support you in your career then even do you think will he ever support you for your whole life.,
You must be happy when i said i resigned from my job, but in deep heartedly you didn’t realize that pain in my eyes,
Forgetting past and switching to new future is not easy as switching mobile networks.,
Time passes and excitement of birthday changes into disappointment.,
Regretting for your past is like stabbing yourself from the back and don’t let yourself relieved through the pain.,
It hurts when you love someone badly and all they think about revenge with you.,
If a person doesn’t find love at home he definitely hunt for it outside.,
I was not wrong but maybe you will not understand.,
Even if we are real still people think we are fake.,
Garbage can never smell good as the bad people can never be good.,
This generation is running towards cheating and crime instead of loyalty and generosity.,
It’s not true that what you think you deserMay be you actually don’t deserve that.,
Your wealth decides the number of friends.,
Now lie is so simple to use that every second even we are right we prefer the easy term that is lie.,
Sometimes the person you trust most is the one who trusts you the least.,
If there is the heart there’s always sadness.,
There is nothing more depressing than having it all and still feeling sad.,
You Broke me again.,
I don’t depend on people anymore because I’m tired of being disappointed.,
I am only good at hiding my feeling.,
One of the hardest things in life is watching the person you love, love someone else.,
We all feel lost sometimes.,
The worst feeling is pretending as if you don’t care at all When in reality that’s all you can think of.It’s hard to forget someone that gives you so much remembers.,
Waiting is painful.,
And in the end, it’s not the people you miss. It’s the memories.,
And in the end, it’s not the people you miss. It’s the memories.,
And in the end, it’s not the people you miss. It’s the memories.,
Oh how beautifully your eyes speak those lies.,
Our sweetest songs are those that tell of the saddest thoughts.,
You can’t please everybody.,
Never make someone a priority when all you are to them is an option.,
Every time I start trusting someone, they show me why I shouldn’t.,
I die every day, every second without you.,
Everyone wants to be happy. No one wants to be sad and get pain. But you can’t make a rainbow without a little rain.,
Tears are words the heart can’t express.,
And Sometimes You Just Have To Forget About That Person You Once Loved & Move On.,
I might not be the best but I will be the best to love you more than anyone else.,
People leave because it’s easier to walk away than to fight for what they really want.,
I was playing back a thousand memories baby, thinking about everything we’ve been through.,
I always found the right one at the wrong time.,

